name,초중고,설립년도,설립형태,소재지도로명주소,시도교육청,교육지원청,위도,경도
부산디지털고등학교,고등학교,1954,사립,부산광역시 중구 망양로 356,부산광역시교육청,부산광역시서부교육지원청,35.10885429,129.0324467
삽교중학교,중학교,1954,공립,충청남도 예산군 삽교읍 삽교로 173,충청남도교육청,충청남도예산교육지원청,36.68661525,126.7495186
분당초등학교,초등학교,1954,공립,경기도 성남시 분당구 중앙공원로32번길 20,경기도교육청,경기도성남교육지원청,37.37898822,127.1296966
창원대산고등학교,고등학교,1954,사립,경상남도 창원시 의창구 대산면 진산대로 378,경상남도교육청,경상남도창원교육지원청,35.33334459,128.7103474
기장중학교,중학교,1954,공립,부산광역시 기장군 기장읍 읍내로 120,부산광역시교육청,부산광역시해운대교육지원청,35.24488187,129.2183149
대양고등학교,고등학교,1954,사립,부산광역시 남구 지게골로 128-27,부산광역시교육청,부산광역시남부교육지원청,35.13338218,129.0739798
죽산고등학교,고등학교,1954,공립,경기도 안성시 죽산면 죽산향교길 54-40,경기도교육청,경기도안성교육지원청,37.08212863,127.4239467
점동중학교,중학교,1954,공립,경기도 여주시 점동면 청안로 152,경기도교육청,경기도여주교육지원청,37.20593642,127.6632644
봉평중학교,중학교,1954,공립,강원도 평창군 봉평면 기풍4길 27-6,강원도교육청,강원도평창교육지원청,37.61770857,128.3813508
공산중학교,중학교,1954,사립,대구광역시 동구 팔공로197길 26,대구광역시교육청,대구광역시동부교육지원청,35.95506586,128.6906838
월학초등학교,초등학교,1954,공립,강원도 인제군 북면 금강로 732,강원도교육청,강원도인제교육지원청,38.17074712,128.2093385
표선고등학교,고등학교,1954,공립,제주특별자치도 서귀포시 표선면 표선중앙로 22-15,제주특별자치도교육청,제주특별자치도서귀포시교육지원청,33.33115727,126.826996
웅촌중학교,중학교,1954,공립,울산광역시 울주군 웅촌면 새초천길 13,울산광역시교육청,울산광역시강남교육지원청,35.46248544,129.2087306
한서중학교,중학교,1954,공립,강원도 홍천군 서면 보리울길 3,강원도교육청,강원도홍천교육지원청,37.68747653,127.5942168
혜화여자중학교,중학교,1954,사립,부산광역시 동래구 명장로67번길 14-22,부산광역시교육청,부산광역시동래교육지원청,35.20457889,129.1109468
야로중학교,중학교,1954,공립,경상남도 합천군 야로면 구정묵촌길 14,경상남도교육청,경상남도합천교육지원청,35.70497972,128.1672801
천안고등학교,고등학교,1954,사립,충청남도 천안시 동남구 봉명로 53,충청남도교육청,충청남도천안교육지원청,36.80941687,127.1343416
